"ID","SHIPNAME","SHIPTYPE","LONGITUDE","LATITUDE","SPEED","EQUIPMENTID"
1755104,"嵊渔养70204","",122.756527,30.713682,0,"850256553306053"
1755105,"嵊渔养70566","",122.772845,30.706458,0,"850256553305537"
1755107,"嵊渔养70533","",122.773954,30.704596,0,"850256553305533"
1755108,"嵊渔养70346","",122.763517,30.718038,0,"850256553305737"
1755109,"嵊渔养70768","",122.77419,30.706305,0,"850256553305525"
1755112,"嵊渔养70754","",122.757631,30.715537,0,"850256553305337"
1755113,"嵊渔养70482","",122.775771,30.702734,0,"850256553305865"
1755114,"嵊渔养70078","",122.757169,30.715394,0,"850256553305336"
1755115,"嵊渔养70335","",122.75683,30.715919,0,"850256553305682"
1755116,"嵊渔养70202","",122.756671,30.716083,0,"850256553305329"
1755117,"嵊渔养70501","",122.773967,30.706168,0,"850256553305530"
1755119,"嵊渔养70029","",122.771726,30.719082,0,"850256553306059"
1755120,"嵊渔养70541","",122.77965,30.705806,0,"850256553305539"
1755121,"嵊渔养70184","",122.763334,30.717751,0,"850256553305338"
1755122,"嵊渔养70516","",122.774186,30.70628,0,"850256553305871"
1755124,"嵊渔养70224","",122.756811,30.716469,0,"850256553306060"
1755126,"嵊渔养70472","",122.776298,30.703163,0,"850256553305869"
1755127,"嵊渔养70741","",122.776181,30.70317,0,"850256553305863"
1755128,"嵊渔养70442","",122.773879,30.706095,0,"850256553305873"
1755129,"嵊渔养70250","",122.76383,30.714426,0,"850256553305324"
574419,"浙普渔68323","",122.95138888888889,30.585805555555556,9.1,"961869"
1753162,"闽莆渔21333","",119.3498611111111,25.051916666666667,5.6,"962620"
1753045,"闽莆渔运06802","",119.45177777777778,25.243250000000003,0,"963286"
1752742,"闽东渔65015","",117.25402777777778,23.051277777777777,4,"963457"
1753262,"闽东渔64858","",117.31883333333333,23.043916666666668,2.1,"962497"
1754785,"闽莆渔运30813","",119.55811111111112,25.208388888888887,0,"963265"
1753508,"浙三渔07878","2",121.60391666666666,29.042333333333335,0,"945656"
1753417,"浙普渔68021","",123.93283333333335,30.479916666666668,2.4,"962908"
1753418,"闽福安渔运02199","",119.88244444444443,26.32183333333333,0.1,"962808"
1753421,"闽东渔63080","",117.80622222222222,23.213749999999997,4.4,"945179"
1753423,"闽东渔63028","",117.76005555555557,23.294805555555556,4.2,"945345"
1753424,"闽东渔69678","",117.42869444444445,23.597444444444445,0,"962814"
1753425,"闽东渔63265","",117.45727777777779,23.658055555555553,0.1,"962579"
1753426,"闽东渔62108","",118.76783333333334,23.320444444444444,4.9,"945276"
1753428,"闽东渔65042","",117.506,22.996638888888892,3.9,"963654"
1753429,"闽莆渔运15813","",119.45175,25.24330555555556,0,"963254"
1753430,"浙三渔05889","2",121.62352777777777,29.041222222222224,0,"945872"
