经度(度-分),纬度(度-分),经度,纬度,航速（节）,航迹向（度）,船首向（度）,旋转角速度（度/秒）,航行状态,更新时间（北京时间）,更新时间（UTC）
121-42.953E,31-19.437N,121.715878,31.323943,008.6,300.1,296,0,在航,2020-11-13 09:01:33,2020-11-13 01:01:33
121-41.940E,31-19.927N,121.698995,31.33212,010.2,297.4,294,0,在航,2020-11-13 09:07:09,2020-11-13 01:07:09
121-40.894E,31-20.433N,121.681565,31.340548,010.5,299.1,297,0,在航,2020-11-13 09:12:39,2020-11-13 01:12:39
121-39.877E,31-20.914N,121.66462,31.348572,009.8,297.5,296,0,在航,2020-11-13 09:18:22,2020-11-13 01:18:22
121-38.980E,31-21.319N,121.649672,31.355313,009.5,297,297,0,在航,2020-11-13 09:23:30,2020-11-13 01:23:30
121-38.079E,31-21.743N,121.634655,31.362377,009.3,299.4,300,0,在航,2020-11-13 09:28:52,2020-11-13 01:28:52
121-37.026E,31-22.255N,121.6171,31.37091,009.9,300.1,300,0,在航,2020-11-13 09:34:51,2020-11-13 01:34:51
121-35.993E,31-22.753N,121.599887,31.379218,009.6,298.5,301,0.02,在航,2020-11-13 09:40:50,2020-11-13 01:40:50
121-35.156E,31-23.172N,121.58594,31.386205,009.4,299.2,301,0,在航,2020-11-13 09:45:52,2020-11-13 01:45:52
121-34.190E,31-23.648N,121.569825,31.39414,009.2,299.4,300,0,在航,2020-11-13 09:51:44,2020-11-13 01:51:44
121-33.345E,31-24.069N,121.555755,31.401158,009.2,297.7,296,0,在航,2020-11-13 09:56:55,2020-11-13 01:56:55
121-32.312E,31-24.520N,121.538538,31.408662,009.9,297.4,298,0.02,在航,2020-11-13 10:02:40,2020-11-13 02:02:40
121-31.336E,31-24.985N,121.522272,31.416412,010.0,298.6,297,0,在航,2020-11-13 10:08:10,2020-11-13 02:08:10
121-30.380E,31-25.426N,121.506337,31.423762,009.4,298.5,300,0.05,在航,2020-11-13 10:13:50,2020-11-13 02:13:50
121-29.576E,31-25.955N,121.492925,31.432578,008.7,316.7,321,0,在航,2020-11-13 10:19:35,2020-11-13 02:19:35
121-28.928E,31-26.570N,121.482132,31.442838,008.4,315.7,317,0,在航,2020-11-13 10:25:09,2020-11-13 02:25:09
121-28.144E,31-27.265N,121.469062,31.45442,010.0,317.8,321,0,在航,2020-11-13 10:31:02,2020-11-13 02:31:02
121-27.278E,31-28.176N,121.454638,31.469603,011.7,323,325,0,在航,2020-11-13 10:36:51,2020-11-13 02:36:51
121-26.540E,31-29.002N,121.442327,31.483368,011.4,319.9,321,0,在航,2020-11-13 10:42:00,2020-11-13 02:42:00
121-25.721E,31-29.790N,121.428678,31.496505,010.7,311.9,310,0,在航,2020-11-13 10:47:30,2020-11-13 02:47:30
121-24.818E,31-30.357N,121.413632,31.505945,010.3,304.7,305,0.02,在航,2020-11-13 10:52:49,2020-11-13 02:52:49
121-23.912E,31-30.900N,121.398525,31.514998,009.4,303.5,304,0,在航,2020-11-13 10:58:30,2020-11-13 02:58:30
121-23.086E,31-31.354N,121.38477,31.522567,009.2,302.3,301,0,在航,2020-11-13 11:03:41,2020-11-13 03:03:41
121-22.136E,31-31.887N,121.36893,31.531455,008.8,304.5,301,0,在航,2020-11-13 11:09:49,2020-11-13 03:09:49
121-21.276E,31-32.356N,121.354607,31.539263,008.1,302.5,298,0,在航,2020-11-13 11:15:40,2020-11-13 03:15:40
121-20.451E,31-32.769N,121.340855,31.546157,007.7,299.7,297,0,在航,2020-11-13 11:21:29,2020-11-13 03:21:29
121-19.635E,31-33.308N,121.327253,31.555135,008.5,315.1,319,0.06,在航,2020-11-13 11:27:30,2020-11-13 03:27:30
121-18.928E,31-34.051N,121.315468,31.567515,010.3,324.3,326,0.02,在航,2020-11-13 11:33:00,2020-11-13 03:33:00
121-18.158E,31-34.991N,121.302633,31.58318,011.6,325,325,0,在航,2020-11-13 11:38:40,2020-11-13 03:38:40
121-17.417E,31-35.747N,121.290278,31.59578,010.8,314.1,313,0.02,在航,2020-11-13 11:43:50,2020-11-13 03:43:50
121-16.551E,31-36.492N,121.275852,31.608208,010.2,316.3,315,0,在航,2020-11-13 11:49:39,2020-11-13 03:49:39
121-15.854E,31-37.121N,121.264237,31.618675,009.4,316.9,317,0,在航,2020-11-13 11:54:49,2020-11-13 03:54:49
